planet_name,planet_type,host_star_name,star_id,spectral_type,mass_multiplier,mass_wrt,orbital_period_days,radius_wrt,radius_multiplier,distance,discovery_year,planet_id
2MASS J01225093-2439505 b,Gas Giant,2MASS J01225093-2439505,350,M3.5 V,24.5,Jupiter,,Jupiter,1.0,110.0,2013,35
HD 260655 c,Super Earth,HD 260655,71,M0 V,3.09,Earth,5.70588,Earth,1.533,33.0,2022,36
Kepler-1880 b,Neptune-like,Kepler-1880,671,,5.13,Earth,6.30921984,Earth,2.117,1993.0,2021,37
OGLE-2017-BLG-1434L b,Super Earth,OGLE-2017-BLG-1434L,2682,,4.43,Earth,,Earth,1.94,2805.0,2018,38
Kepler-1726 b,Neptune-like,Kepler-1726,728,,6.84,Earth,18.39629936,Jupiter,0.224,1274.0,2021,39
Kepler-873 b,Neptune-like,Kepler-873,424,,13.5,Earth,20.5533844,Jupiter,0.335,3856.0,2016,40
Kepler-263 c,Neptune-like,Kepler-263,792,,6.66,Earth,47.332773,Jupiter,0.22,2462.0,2014,41
HD 154672 b,Gas Giant,HD 154672,1861,G3 IV,5.37,Jupiter,163.94,Jupiter,1.14,206.0,2008,42
Kepler-272 c,Super Earth,Kepler-272,1686,,0.308,Jupiter,6.057342,Earth,1.79,2902.0,2014,43
Kepler-1192 b,Neptune-like,Kepler-1192,487,,6.17,Earth,25.2034787,Jupiter,0.211,4254.0,2016,44
Kepler-1060 b,Neptune-like,Kepler-1060,1471,,6.26,Earth,46.8779367,Jupiter,0.212,3088.0,2016,45
HD 72490 b,Gas Giant,HD 72490,1310,G5,1.768,Jupiter,858.0,Jupiter,1.2,412.0,2018,46
Kepler-216 b,Neptune-like,Kepler-216,912,,6.12,Earth,7.693641,Jupiter,0.21,3874.0,2014,47
Kepler-359 b,Neptune-like,Kepler-359,1731,,12.2,Earth,25.563222,Jupiter,0.315,4708.0,2014,48
WASP-118 b,Gas Giant,WASP-118,100,F6,0.514,Jupiter,4.0460435,Jupiter,1.44,1229.0,2016,49
HD 108236 f,Super Earth,HD 108236,1525,G3 V,4.72,Earth,29.54115,Earth,2.017,211.0,2021,50
OGLE-TR-113 b,Gas Giant,OGLE-TR-113,2434,K4 V,1.26,Jupiter,1.4324752,Jupiter,1.093,1848.0,2004,51
K2-14 b,Neptune-like,K2-14,3014,M0,20.7,Earth,8.36802,Jupiter,0.429,1188.0,2015,52
LkCa 15 b,Unknown,LkCa 15,2702,,,,,,,516.0,2015,53
Kepler-194 d,Neptune-like,Kepler-194,856,,6.35,Earth,52.814973,Jupiter,0.214,3582.0,2014,54
HD 97658 b,Super Earth,HD 97658,367,K1 V,8.3,Earth,9.4897116,Earth,2.12,70.0,2010,55
Kepler-845 b,Super Earth,Kepler-845,854,,4.82,Earth,0.92785982,Earth,2.04,1406.0,2016,56
Kepler-595 c,Super Earth,Kepler-595,654,,3.3,Earth,12.38602,Earth,1.009,2097.0,2020,57
Kepler-812 b,Neptune-like,Kepler-812,2814,,12.3,Earth,10.11716531,Jupiter,0.317,4837.0,2016,58
Kepler-1247 b,Neptune-like,Kepler-1247,2467,,6.04,Earth,13.71220213,Jupiter,0.208,3412.0,2016,59
Kepler-226 c,Super Earth,Kepler-226,3898,,0.142,Jupiter,5.349555,Jupiter,0.203,3197.0,2014,60
Kepler-1323 b,Super Earth,Kepler-1323,2079,,2.92,Earth,0.92990668,Earth,1.52,1518.0,2016,61
K2-270 b,Super Earth,K2-270,3200,,2.48,Earth,1.543069,Earth,1.38,915.0,2018,62
K2-130 b,Super Earth,K2-130,2621,,2.1,Earth,2.49412,Earth,1.25,385.0,2017,63
Kepler-765 b,Neptune-like,Kepler-765,275,,6.48,Earth,27.6655226,Jupiter,0.217,3511.0,2016,64
K2-245 b,Neptune-like,K2-245,2105,,17.4,Earth,11.89307,Jupiter,0.387,1488.0,2018,65
Kepler-201 c,Neptune-like,Kepler-201,1339,,8.5,Earth,151.884058,Jupiter,0.254,2076.0,2014,66
Kepler-835 b,Neptune-like,Kepler-835,630,,8.2,Earth,11.41909375,Jupiter,0.249,7849.0,2016,67
Kepler-1873 b,Super Earth,Kepler-1873,3230,,3.28,Earth,0.558842,Earth,1.626,2678.0,2021,68
Kepler-1503 b,Neptune-like,Kepler-1503,1225,,5.77,Earth,96.16987,Jupiter,0.203,3998.0,2016,69
HD 28678 b,Gas Giant,HD 28678,2104,G8 IV,1.542,Jupiter,380.2,Jupiter,1.21,619.0,2011,70
Kepler-1748 b,Neptune-like,Kepler-1748,3597,,7.81,Earth,5.82352018,Jupiter,0.242,3534.0,2021,71
Kepler-381 c,Super Earth,Kepler-381,483,,1.46,Earth,13.391635,Earth,1.12,872.0,2014,72
Kepler-94 c,Gas Giant,Kepler-94,3886,M0 V,9.836,Jupiter,820.3,Jupiter,1.11,626.0,2014,73
Kepler-1133 b,Super Earth,Kepler-1133,2787,,4.54,Earth,11.55562343,Earth,1.97,2457.0,2016,74
Kepler-327 d,Super Earth,Kepler-327,3314,,3.64,Earth,13.969457,Earth,1.73,789.0,2014,75
Kepler-354 b,Super Earth,Kepler-354,3416,,4.04,Earth,5.47666,Earth,1.84,1807.0,2014,76
Kepler-450 b,Neptune-like,Kepler-450,2407,,19.4,Earth,28.454851,Jupiter,0.548,1487.0,2015,77
K2-288 B b,Super Earth,K2-288 B,3582,M3 V,4.27,Earth,31.393463,Earth,1.9,214.0,2018,78
Kepler-1443 b,Terrestrial,Kepler-1443,1206,,0.871,Earth,2.41811321,Earth,0.97,1936.0,2016,79
Kepler-763 b,Super Earth,Kepler-763,290,,1.98,Earth,1.19655156,Earth,1.22,3140.0,2016,80
HATS-63 b,Gas Giant,HATS-63,887,,0.96,Jupiter,3.0566527,Jupiter,1.207,2033.0,2018,81
Kepler-102 e,Super Earth,Kepler-102,906,,8.93,Earth,16.1456994,Earth,2.22,352.0,2013,82
K2-86 b,Super Earth,K2-86,2767,,4.5,Earth,8.77683,Earth,1.96,844.0,2016,83
Kepler-68 b,Neptune-like,Kepler-68,535,,7.65,Earth,5.39875259,Jupiter,0.21,470.0,2013,84
Kepler-901 b,Super Earth,Kepler-901,1250,,2.45,Earth,3.51749439,Earth,1.37,828.0,2016,85
Kepler-391 c,Neptune-like,Kepler-391,1243,,12.3,Earth,20.485435,Jupiter,0.316,2835.0,2014,86
Kepler-1125 b,Super Earth,Kepler-1125,522,,4.04,Earth,17.6700642,Earth,1.84,6561.0,2016,87
Kepler-225 b,Super Earth,Kepler-225,2359,M1 V,1.87,Earth,6.738975,Earth,1.2,1830.0,2014,88
Kepler-245 e,Super Earth,Kepler-245,1800,,3.71,Earth,3.21982106,Earth,1.75,2810.0,2016,89
HD 204313 e,Gas Giant,HD 204313,1079,G5 V,15.23151,Jupiter,7325.64666,Jupiter,1.09,156.0,2022,90
Kepler-215 e,Super Earth,Kepler-215,2218,,3.71,Earth,68.16101,Earth,1.75,1585.0,2014,91
OGLE-2018-BLG-1428L b,Gas Giant,OGLE-2018-BLG-1428L,176,,0.77,Jupiter,,Jupiter,1.25,20290.0,2021,92
Kepler-202 c,Super Earth,Kepler-202,3763,,4.08,Earth,16.282493,Earth,1.85,930.0,2014,93
K2-165 b,Super Earth,K2-165,3334,,2.17,Earth,2.354992,Earth,1.274,439.0,2018,94
WASP-105 b,Gas Giant,WASP-105,3858,K2,1.8,Jupiter,7.87288,Jupiter,0.96,552.0,2017,95
WASP-130 b,Gas Giant,WASP-130,3425,G6,1.23,Jupiter,11.55098,Jupiter,0.89,562.0,2016,96
Kepler-694 b,Neptune-like,Kepler-694,460,,8.25,Earth,6.36584161,Jupiter,0.25,3337.0,2016,97
Kepler-910 b,Terrestrial,Kepler-910,2861,,0.477,Earth,2.36436901,Earth,0.82,1306.0,2016,98
HD 86264 b,Gas Giant,HD 86264,3661,F7 V,12.81667,Jupiter,1488.79123,Jupiter,1.1,221.0,2009,99
Kepler-1785 b,Neptune-like,Kepler-1785,877,,7.77,Earth,19.58550072,Jupiter,0.241,2433.0,2021,100
K2-382 b,Super Earth,K2-382,2339,,4.95,Earth,21.700156,Earth,2.072,908.0,2022,101
OGLE-TR-211 b,Gas Giant,OGLE-TR-211,804,,1.03,Jupiter,3.67724,Jupiter,1.36,4943.0,2007,102
Kepler-1836 b,Neptune-like,Kepler-1836,336,,7.05,Earth,5.25416994,Jupiter,0.228,4804.0,2021,103
WASP-41 c,Gas Giant,WASP-41,1004,,3.18,Jupiter,421.0,Jupiter,1.17,533.0,2015,104
BD-06 1339 c,Gas Giant,BD-06 1339,3851,K7/M0 V,0.17,Jupiter,125.94,Jupiter,0.747,66.0,2013,105
GJ 1061 c,Super Earth,GJ 1061,955,M5.5 V,1.74,Earth,6.689,Earth,1.18,12.0,2020,106
Kepler-1884 b,Super Earth,Kepler-1884,3609,,3.95,Earth,8.98832035,Earth,1.814,4707.0,2021,107
Kepler-1388 b,Neptune-like,Kepler-1388,1012,,7.22,Earth,12.2854603,Jupiter,0.231,1480.0,2016,108
HIP 97166 c,Neptune-like,HIP 97166,1174,K0 V,9.9,Earth,16.432,Jupiter,0.278,215.0,2021,109
HD 168443 c,Gas Giant,HD 168443,3050,G5,18.03941,Jupiter,1753.1096,Jupiter,1.08,129.0,2000,110
GJ 3323 c,Super Earth,GJ 3323,3564,M4,2.31,Earth,40.54,Earth,1.32,18.0,2017,111
TOI-3629 b,Gas Giant,TOI-3629,2457,M1,0.26,Jupiter,3.936551,Jupiter,0.74,424.0,2022,112
BD+55 362 b,Gas Giant,BD+55 362,465,K3,0.72,Jupiter,265.59,Jupiter,1.25,171.0,2021,113
TOI-1601 b,Gas Giant,TOI-1601,50,,0.99,Jupiter,5.33175,Jupiter,1.239,1098.0,2021,114
HD 43197 b,Gas Giant,HD 43197,675,G8 V,0.55388,Jupiter,308.92072,Jupiter,1.26,204.0,2010,115
Kepler-52 c,Gas Giant,Kepler-52,3283,M0 V,0.14284,Jupiter,16.3850021,Earth,1.84,1049.0,2012,116
K2-285 c,Neptune-like,K2-285,1112,K2 V,15.68,Earth,7.138048,Jupiter,0.315,505.0,2018,117
K2-187 d,Neptune-like,K2-187,74,,6.35,Earth,7.149584,Jupiter,0.214,1079.0,2018,118
Kepler-281 d,Neptune-like,Kepler-281,29,,29.5,Earth,148.2720032,Jupiter,0.53,5694.0,2021,119
HD 72892 b,Gas Giant,HD 72892,2350,G5 V,5.46348,Jupiter,39.44603,Jupiter,1.14,227.0,2016,120
OGLE-2013-BLG-0341L B b,Super Earth,OGLE-2013-BLG-0341L B,3732,,1.66,Earth,,Earth,1.16,2972.0,2014,121
HAT-P-23 b,Gas Giant,HAT-P-23,2481,G0,1.34,Jupiter,1.212884,Jupiter,1.09,1190.0,2010,122
Kepler-107 d,Super Earth,Kepler-107,357,,3.8,Earth,7.95839,Earth,0.86,1716.0,2014,123
HD 164922 e,Neptune-like,HD 164922,2835,G9 V,10.52012,Earth,41.763,Jupiter,0.288,72.0,2021,124
Kepler-192 c,Neptune-like,Kepler-192,2598,,8.2,Earth,21.2234,Jupiter,0.249,2126.0,2014,125
OGLE-2018-BLG-0740L b,Gas Giant,OGLE-2018-BLG-0740L,797,G V,4.8,Jupiter,5480.0,Jupiter,1.15,10438.0,2019,126
Kepler-1038 b,Neptune-like,Kepler-1038,3876,,12.2,Earth,148.4603382,Jupiter,0.315,1905.0,2016,127
Kepler-308 c,Neptune-like,Kepler-308,3008,,5.31,Earth,15.38231,Earth,2.16,4358.0,2014,128
Kepler-682 b,Gas Giant,Kepler-682,16,,0.134,Jupiter,12.61190667,Jupiter,0.658,6456.0,2016,129
K2-240 b,Super Earth,K2-240,3233,M0.5 V,4.66,Earth,6.034,Earth,2.0,238.0,2018,130
Kepler-1813 b,Super Earth,Kepler-1813,2785,,2.58,Earth,2.81816006,Earth,1.413,,2021,131
Kepler-304 e,Super Earth,Kepler-304,314,,1.87,Earth,1.49914695,Earth,1.2,1418.0,2016,132
K2-133 d,Super Earth,K2-133,2905,M1.5 V,4.67,Earth,11.02454,Earth,2.003,245.0,2017,133
Kepler-601 b,Super Earth,Kepler-601,2302,,4.27,Earth,5.37886844,Earth,1.9,1353.0,2016,134
Kepler-1924 b,Neptune-like,Kepler-1924,905,,7.53,Earth,15.33170033,Jupiter,0.237,6233.0,2021,135
HD 164922 d,Super Earth,HD 164922,2835,G9 V,4.0,Earth,12.458,Earth,1.83,72.0,2020,136
Kepler-228 b,Super Earth,Kepler-228,3571,,2.96,Earth,2.566546,Earth,1.53,5365.0,2014,137
GJ 674 b,Neptune-like,GJ 674,3210,M2.5,11.09,Earth,4.6938,Jupiter,0.297,15.0,2007,138
HD 33844 c,Gas Giant,HD 33844,3154,K0 III,1.75,Jupiter,916.0,Jupiter,1.2,345.0,2015,139
Kepler-446 b,Super Earth,Kepler-446,3566,M4,2.86,Earth,1.565409,Earth,1.5,314.0,2015,140
WASP-52 b,Gas Giant,WASP-52,2159,,0.46,Jupiter,1.7497798,Jupiter,1.27,570.0,2012,141
HD 199509 b,Gas Giant,HD 199509,1484,G3V,0.13487,Jupiter,99.62167,Jupiter,0.66,79.0,2022,142
WASP-76 b,Gas Giant,WASP-76,2197,F7,0.92,Jupiter,1.80988198,Jupiter,1.83,634.0,2016,143
Kepler-1740 b,Neptune-like,Kepler-1740,2022,,11.0,Earth,8.17240047,Jupiter,0.296,3463.0,2021,144
Kepler-974 b,Super Earth,Kepler-974,3170,,3.09,Earth,4.19449651,Earth,1.57,438.0,2016,145
Kepler-1392 b,Super Earth,Kepler-1392,2536,,4.5,Earth,15.1410397,Earth,1.96,3644.0,2016,146
TOI-1296 b,Gas Giant,TOI-1296,2590,,0.298,Jupiter,3.9443736,Jupiter,1.231,1054.0,2021,147
Kepler-1128 b,Neptune-like,Kepler-1128,3414,,12.9,Earth,61.6178167,Jupiter,0.326,3534.0,2016,148
Kepler-1322 b,Super Earth,Kepler-1322,1494,,3.22,Earth,0.96286738,Earth,1.61,4405.0,2016,149
Kepler-1080 b,Neptune-like,Kepler-1080,3692,,10.8,Earth,77.2548396,Jupiter,0.293,4511.0,2016,150
Kepler-166 c,Neptune-like,Kepler-166,3341,,6.26,Earth,34.260281,Jupiter,0.212,1969.0,2014,151
OGLE-2017-BLG-1691L b,Neptune-like,OGLE-2017-BLG-1691L,1486,,14.62011,Earth,,Jupiter,0.35,23780.0,2022,152
Kepler-160 d,Gas Giant,Kepler-160,3509,,0.31463,Jupiter,30.0,,,3057.0,2020,153
Kepler-450 c,Super Earth,Kepler-450,2407,,12.5,Earth,15.413135,Jupiter,0.234,1487.0,2015,154
WASP-145 A b,Gas Giant,WASP-145 A,962,K2 V,0.89,Jupiter,1.7690381,Jupiter,0.9,298.0,2018,155
TOI-1442 b,Super Earth,TOI-1442,2509,,1.71,Earth,0.4090677,Earth,1.17,134.0,2022,156
HD 134987 b,Gas Giant,HD 134987,1546,G5 V,1.61,Jupiter,258.17999,Jupiter,1.21,85.0,1999,157
HD 11343 c,Gas Giant,HIP 8541,2838,K2 III/ IV,0.79726,Jupiter,228.53731,Jupiter,1.24,506.0,2022,158
Kepler-1758 b,Neptune-like,Kepler-1758,1221,,7.13,Earth,9.97721005,Jupiter,0.229,5181.0,2021,159
Kepler-250 d,Neptune-like,Kepler-250,2029,,5.39,Earth,17.648312,Earth,2.18,2481.0,2014,160
HD 156279 c,Gas Giant,HD 156279,1381,G6,10.09039,Jupiter,4818.25358,Jupiter,1.11,118.0,2018,161
K2-413 b,Terrestrial,K2-413,3267,,0.363,Earth,0.8094,Earth,0.76,930.0,2022,162
Kepler-229 c,Neptune-like,Kepler-229,2399,,21.5,Earth,16.068638,Jupiter,0.439,2695.0,2014,163
Kepler-258 b,Neptune-like,Kepler-258,25,,15.5,Earth,13.19722,Jupiter,0.362,1879.0,2014,164
GJ 414 A c,Gas Giant,GJ 414 A,2194,K7 V,0.16937,Jupiter,749.83,Jupiter,0.749,39.0,2021,165
WASP-11 b,Gas Giant,WASP-11,570,K3 V,0.79,Jupiter,3.72247,Jupiter,1.11,407.0,2008,166
K2-187 c,Super Earth,K2-187,74,,2.54,Earth,2.871512,Earth,1.4,1079.0,2018,167
OGLE-2012-BLG-0358L b,Gas Giant,OGLE-2012-BLG-0358L,2921,,1.85,Jupiter,,Jupiter,1.2,5741.0,2013,168
Kepler-243 b,Neptune-like,Kepler-243,238,,6.57,Earth,5.715442,Jupiter,0.219,2263.0,2014,169
HD 202696 b,Gas Giant,HD 202696,2203,K0 III-IV,1.996,Jupiter,517.8,,,615.0,2019,170
Kepler-126 b,Super Earth,Kepler-126,3119,,2.92,Earth,10.495711,Earth,1.52,774.0,2014,171
Kepler-129 d,Gas Giant,Kepler-129,1706,G4 V,8.3,Jupiter,2646.0,Jupiter,1.12,1334.0,2021,172
Kepler-105 c,Super Earth,Kepler-105,3657,,4.6,Earth,7.1262,Earth,1.31,1498.0,2014,173
K2-259 b,Neptune-like,K2-259,990,,5.99,Earth,15.48043,Jupiter,0.207,1358.0,2018,174
HIP 55507 b,Gas Giant,HIP 55507,3168,M0,8.25957,Jupiter,5138.43727,Jupiter,1.12,83.0,2022,175
WASP-18 c,Gas Giant,WASP-18,1290,F6 IV-V,0.17368,Jupiter,2.1558,Jupiter,0.765,403.0,2019,176
Kepler-251 b,Super Earth,Kepler-251,207,,2.33,Earth,4.790936,Earth,1.33,3016.0,2014,177
K2-172 b,Super Earth,K2-172,3789,,3.42,Earth,14.316941,Earth,1.666,815.0,2018,178
CoRoT-20 b,Gas Giant,CoRoT-20,729,G2 V,4.3,Jupiter,9.24285,Jupiter,0.84,2753.0,2011,179
Kepler-352 b,Terrestrial,Kepler-352,2196,,0.566,Earth,10.05537,Earth,0.86,824.0,2014,180
Kepler-185 b,Super Earth,Kepler-185,2917,,1.71,Earth,1.6329,Earth,1.17,1522.0,2014,181
HD 190360 b,Gas Giant,HD 190360,130,G V,1.8,Jupiter,2854.0,Jupiter,1.2,52.0,2003,182
HD 110537 b,Gas Giant,HD 110537,1269,G6/8 V,27.19954,Jupiter,24469.67342,Jupiter,1.06,147.0,2022,183
Kepler-1424 b,Super Earth,Kepler-1424,407,,1.65,Earth,29.6091744,Earth,1.16,2158.0,2016,184
HIP 48714 b,Neptune-like,HIP 48714,628,M0.5 Ve,22.9,Earth,17.818,Jupiter,0.456,34.0,2020,185
Kepler-934 b,Super Earth,Kepler-934,1096,,5.02,Earth,55.6738309,Earth,2.09,1986.0,2016,186
Kepler-1269 b,Super Earth,Kepler-1269,1808,,3.29,Earth,37.3331536,Earth,1.63,3579.0,2016,187
OGLE-2003-BLG-235L b,Gas Giant,OGLE-2003-BLG-235L,3586,K V,2.6,Jupiter,,Jupiter,1.18,18920.0,2004,188
Kepler-661 b,Neptune-like,Kepler-661,21,,9.64,Earth,6.02930132,Jupiter,0.274,1744.0,2016,189
HR 8799 b,Gas Giant,HR 8799,2352,A5 V,7.0,Jupiter,170000.0,Jupiter,1.2,135.0,2008,190
HATS-47 b,Gas Giant,HATS-47,1194,,0.369,Jupiter,3.9228038,Jupiter,1.117,981.0,2020,191
K2-251 b,Neptune-like,K2-251,2102,,6.12,Earth,9.30075,Jupiter,0.21,480.0,2018,192
KMT-2016-BLG-1836L b,Gas Giant,KMT-2016-BLG-1836L,986,,2.2,Jupiter,,Jupiter,1.19,23160.0,2019,193
Kepler-1030 b,Neptune-like,Kepler-1030,2371,,6.71,Earth,19.32952416,Jupiter,0.221,2475.0,2016,194
Kepler-1746 b,Gas Giant,Kepler-1746,3709,,0.186,Jupiter,321.2120056,Jupiter,0.797,3195.0,2021,195
Kepler-149 c,Super Earth,Kepler-149,1934,,3.22,Earth,55.328328,Earth,1.61,1863.0,2014,196
Kepler-1371 b,Terrestrial,Kepler-1371,3027,,0.315,Earth,3.4462039,Earth,0.73,1681.0,2016,197
Kepler-236 c,Super Earth,Kepler-236,2066,M1 V,4.66,Earth,23.968127,Earth,2.0,942.0,2014,198
Kepler-454 c,Gas Giant,Kepler-454,2494,,4.46,Jupiter,524.19,Jupiter,1.15,753.0,2015,199
HD 100655 b,Gas Giant,HD 100655,1723,G9 III,1.61,Jupiter,157.57001,Jupiter,1.21,447.0,2011,200
Kepler-404 c,Super Earth,Kepler-404,1114,,3.61,Earth,14.751166,Earth,1.72,2650.0,2014,201
Kepler-146 c,Neptune-like,Kepler-146,1939,,9.96,Earth,76.732171,Jupiter,0.279,2338.0,2014,202
HD 168746 b,Gas Giant,HD 168746,3090,G5,0.27,Jupiter,6.404,Jupiter,0.993,136.0,2002,203
Kepler-1623 b,Super Earth,Kepler-1623,2019,,2.27,Earth,4.36128348,Earth,1.31,2732.0,2016,204
MOA-2008-BLG-379L b,Gas Giant,MOA-2008-BLG-379L,730,K,4.1,Jupiter,,Jupiter,1.16,10765.0,2013,205
OGLE-2018-BLG-0596L b,Neptune-like,OGLE-2018-BLG-0596L,3487,,13.93,Earth,,Jupiter,0.34,18430.0,2019,206
Kepler-33 c,Terrestrial,Kepler-33,1497,,0.39,Earth,13.17562,Jupiter,0.285,3944.0,2011,207
Kepler-273 c,Super Earth,Kepler-273,3539,,4.58,Earth,8.014927,Earth,1.98,2329.0,2014,208
HD 124330 b,Gas Giant,HD 124330,3434,G4 IV,0.75,Jupiter,270.66,Jupiter,1.25,196.0,2021,209
Kepler-102 d,Super Earth,Kepler-102,906,,3.8,Earth,10.311767,Earth,1.18,352.0,2014,210
Kepler-101 b,Gas Giant,Kepler-101,3659,G3 IV,0.16,Jupiter,3.4876812,Jupiter,0.51,3027.0,2014,211
Kepler-921 b,Neptune-like,Kepler-921,2975,,8.6,Earth,51.300634,Jupiter,0.256,3048.0,2016,212
Kepler-394 d,Super Earth,Kepler-394,1040,,2.86,Earth,5.61358023,Earth,1.501,3454.0,2021,213
KMT-2016-BLG-2605L b,Gas Giant,KMT-2016-BLG-2605L,380,,0.771,Jupiter,,Jupiter,1.25,20945.0,2021,214
WASP-150 b,Gas Giant,WASP-150,1973,F8,8.46,Jupiter,5.644207,Jupiter,1.07,1722.0,2020,215
Kepler-1114 b,Super Earth,Kepler-1114,2063,,2.39,Earth,14.97435694,Earth,1.35,1365.0,2016,216
CoRoTID 223977153 b,Gas Giant,CoRoTID 223977153,2055,G0 VI,0.15,Jupiter,6.71837,Jupiter,0.57,1881.0,2017,217
K2-201 c,Neptune-like,K2-201,2438,,10.8,Earth,22.779878,Jupiter,0.293,646.0,2018,218
K2-62 c,Neptune-like,K2-62,3126,,5.22,Earth,16.1966,Earth,2.14,367.0,2016,219
Kepler-538 b,Super Earth,Kepler-538,2150,,10.6,Earth,81.73778,Earth,2.215,509.0,2016,220
Kepler-1478 b,Super Earth,Kepler-1478,3850,,3.64,Earth,26.0840594,Earth,1.73,6020.0,2016,221
HD 221585 b,Gas Giant,HD 221585,3812,G8 IV,1.61,Jupiter,1173.0,Jupiter,1.21,182.0,2016,222
Kepler-561 c,Neptune-like,Kepler-561,3292,,7.65,Earth,5.35016198,Jupiter,0.239,2027.0,2016,223
Kepler-1387 b,Terrestrial,Kepler-1387,559,,0.749,Earth,2.27952666,Earth,0.93,1485.0,2016,224
Kepler-384 c,Super Earth,Kepler-384,2041,,1.51,Earth,45.348269,Earth,1.13,2922.0,2014,225
Kepler-703 b,Gas Giant,Kepler-703,2430,,0.161,Jupiter,4.58352176,Jupiter,0.732,3774.0,2016,226
HD 160691 c,Gas Giant,HD 160691,964,G3 IV-V,4.4,Jupiter,3947.0,,,51.0,2004,227
Kepler-1972 b,Super Earth,Kepler-1972,3775,,2.02,Earth,7.54425,Earth,0.802,937.0,2014,228
