,year_month,date,datetime,payment,total,tip,meal_name,type
87,2024-03,2024-03-11,2024-03-11 16:25:45.664,card,39.48,2.45,Grilled Steak,Meat Dish
88,2024-03,2024-03-11,2024-03-11 16:50:49.608,card,29.58,2.27,Beef Stir-Fry,Meat Dish
89,2024-03,2024-03-12,2024-03-12 10:15:00.297,cash,40.38,0.54,Grilled Steak,Meat Dish
90,2024-03,2024-03-12,2024-03-12 10:15:34.543,card,30.25,4.86,Grilled Salmon,Fish Dish
91,2024-03,2024-03-12,2024-03-12 10:16:24.886,card,30.11,0.98,Beef Stir-Fry,Meat Dish
92,2024-03,2024-03-12,2024-03-12 11:20:45.632,card,39.37,5.48,Vegetable Lasagna,Vegetarian Dish
93,2024-03,2024-03-12,2024-03-12 12:46:23.275,card,35.25,6.98,Roast Chicken,Meat Dish
94,2024-03,2024-03-12,2024-03-12 12:47:26.027,card,29.42,3.72,Grilled Salmon,Fish Dish
95,2024-03,2024-03-12,2024-03-12 16:15:43.325,card,29.52,4.45,Grilled Salmon,Fish Dish
96,2024-03,2024-03-13,2024-03-13 11:06:43.038,card,39.16,2.83,Vegetable Lasagna,Vegetarian Dish
97,2024-03,2024-03-13,2024-03-13 11:48:16.753,card,30.18,4.34,Grilled Salmon,Fish Dish
98,2024-03,2024-03-13,2024-03-13 12:18:06.336,card,30.45,3.32,Grilled Salmon,Fish Dish
99,2024-03,2024-03-13,2024-03-13 12:19:05.128,card,29.92,4.36,Grilled Salmon,Fish Dish
100,2024-03,2024-03-13,2024-03-13 12:34:30.315,cash,26.75,2.86,Tuna Steak,Fish Dish
101,2024-03,2024-03-13,2024-03-13 14:26:40.875,card,35.28,4.33,Roast Chicken,Meat Dish
102,2024-03,2024-03-13,2024-03-13 15:40:22.261,card,26.47,1.84,Tuna Steak,Fish Dish
103,2024-03,2024-03-13,2024-03-13 15:41:20.424,card,26.76,2.3,Tuna Steak,Fish Dish
104,2024-03,2024-03-13,2024-03-13 16:47:09.373,card,24.47,1.89,Tuna Steak,Fish Dish
105,2024-03,2024-03-14,2024-03-14 10:02:12.241,cash,41.82,2.4,Grilled Steak,Meat Dish
106,2024-03,2024-03-14,2024-03-14 10:28:33.017,card,42.74,1.84,Grilled Steak,Meat Dish
107,2024-03,2024-03-14,2024-03-14 10:29:34.283,card,39.09,4.8,Vegetable Lasagna,Vegetarian Dish
108,2024-03,2024-03-14,2024-03-14 13:27:29.536,card,29.49,0.74,Beef Stir-Fry,Meat Dish
109,2024-03,2024-03-14,2024-03-14 13:28:24.527,card,32.09,4.84,Grilled Salmon,Fish Dish
110,2024-03,2024-03-14,2024-03-14 13:51:59.905,card,34.69,2.79,Roast Chicken,Meat Dish
111,2024-03,2024-03-14,2024-03-14 13:52:56.248,card,26.03,4.04,Tuna Steak,Fish Dish
112,2024-03,2024-03-14,2024-03-14 15:20:38.367,card,38.91,1.82,Grilled Steak,Meat Dish
113,2024-03,2024-03-14,2024-03-14 16:04:09.506,card,34.24,3.62,Roast Chicken,Meat Dish
114,2024-03,2024-03-14,2024-03-14 16:54:38.202,card,26.5,3.74,Tuna Steak,Fish Dish
115,2024-03,2024-03-14,2024-03-14 18:58:55.854,card,39.59,4.63,Vegetable Lasagna,Vegetarian Dish
116,2024-03,2024-03-14,2024-03-14 19:00:08.663,card,31.64,5.52,Beef Stir-Fry,Meat Dish
117,2024-03,2024-03-15,2024-03-15 10:02:16.533,cash,40.68,2.62,Grilled Steak,Meat Dish
118,2024-03,2024-03-15,2024-03-15 10:53:02.180,card,38.95,2.22,Vegetable Lasagna,Vegetarian Dish
119,2024-03,2024-03-15,2024-03-15 18:19:27.922,card,29.34,3.69,Grilled Salmon,Fish Dish
120,2024-03,2024-03-16,2024-03-16 12:06:55.209,card,35.29,2.98,Roast Chicken,Meat Dish
121,2024-03,2024-03-16,2024-03-16 12:07:53.915,card,31.12,0.7,Grilled Salmon,Fish Dish
122,2024-03,2024-03-16,2024-03-16 15:58:18.458,card,29.76,2.14,Beef Stir-Fry,Meat Dish
123,2024-03,2024-03-16,2024-03-16 16:03:21.738,card,29.68,5.13,Beef Stir-Fry,Meat Dish
124,2024-03,2024-03-16,2024-03-16 16:04:11.444,card,29.79,3.46,Beef Stir-Fry,Meat Dish
125,2024-03,2024-03-16,2024-03-16 17:58:07.241,card,34.04,2.19,Roast Chicken,Meat Dish
126,2024-03,2024-03-17,2024-03-17 10:10:21.399,cash,40.5,4.35,Grilled Steak,Meat Dish
127,2024-03,2024-03-17,2024-03-17 12:55:26.065,card,31.6,1.79,Beef Stir-Fry,Meat Dish
128,2024-03,2024-03-18,2024-03-18 11:17:59.671,card,29.41,3.8,Beef Stir-Fry,Meat Dish
129,2024-03,2024-03-18,2024-03-18 15:31:39.725,card,29.22,0.92,Grilled Salmon,Fish Dish
130,2024-03,2024-03-18,2024-03-18 15:32:38.239,card,31.52,1.71,Grilled Salmon,Fish Dish
131,2024-03,2024-03-18,2024-03-18 15:33:36.708,card,32.31,5.0,Grilled Salmon,Fish Dish
132,2024-03,2024-03-19,2024-03-19 10:20:25.996,cash,31.04,3.27,Beef Stir-Fry,Meat Dish
133,2024-03,2024-03-19,2024-03-19 14:02:21.536,card,41.76,2.96,Grilled Steak,Meat Dish
134,2024-03,2024-03-19,2024-03-19 14:03:19.765,card,39.15,0.66,Grilled Steak,Meat Dish
135,2024-03,2024-03-19,2024-03-19 15:04:36.309,card,39.14,5.35,Vegetable Lasagna,Vegetarian Dish
136,2024-03,2024-03-19,2024-03-19 16:53:48.706,card,34.92,2.78,Roast Chicken,Meat Dish
137,2024-03,2024-03-19,2024-03-19 19:26:32.677,cash,40.58,0.37,Vegetable Lasagna,Vegetarian Dish
138,2024-03,2024-03-20,2024-03-20 11:41:16.403,card,30.64,2.6,Beef Stir-Fry,Meat Dish
139,2024-03,2024-03-20,2024-03-20 12:21:07.728,cash,42.0,3.99,Grilled Steak,Meat Dish
140,2024-03,2024-03-20,2024-03-20 12:30:48.968,card,29.97,0.17,Beef Stir-Fry,Meat Dish
141,2024-03,2024-03-20,2024-03-20 13:16:47.394,card,40.83,2.8,Pork Chops,Meat Dish
142,2024-03,2024-03-20,2024-03-20 16:42:38.117,card,39.13,4.18,Quinoa Salad,Vegetarian Dish
143,2024-03,2024-03-20,2024-03-20 17:50:28.781,card,39.67,7.67,Grilled Steak,Meat Dish
144,2024-03,2024-03-21,2024-03-21 10:18:56.977,cash,41.75,1.92,Pork Chops,Meat Dish
145,2024-03,2024-03-21,2024-03-21 12:25:09.194,card,29.68,3.69,Beef Stir-Fry,Meat Dish
146,2024-03,2024-03-21,2024-03-21 12:26:17.428,card,39.33,3.79,Pork Chops,Meat Dish
147,2024-03,2024-03-21,2024-03-21 17:21:01.453,cash,31.06,3.94,Grilled Salmon,Fish Dish
148,2024-03,2024-03-21,2024-03-21 17:22:01.353,card,29.95,3.9,Beef Stir-Fry,Meat Dish
149,2024-03,2024-03-21,2024-03-21 19:20:36.508,card,40.04,3.25,Grilled Steak,Meat Dish
150,2024-03,2024-03-22,2024-03-22 10:35:53.619,card,34.87,3.48,Roast Chicken,Meat Dish
151,2024-03,2024-03-22,2024-03-22 13:29:20.343,card,34.36,0.32,Roast Chicken,Meat Dish
152,2024-03,2024-03-22,2024-03-22 16:15:14.448,cash,40.39,5.93,Pork Chops,Meat Dish
153,2024-03,2024-03-22,2024-03-22 17:17:03.724,card,29.33,1.85,Grilled Salmon,Fish Dish
154,2024-03,2024-03-22,2024-03-22 17:17:58.991,card,25.31,3.01,Tuna Steak,Fish Dish
155,2024-03,2024-03-22,2024-03-22 17:20:49.490,card,29.64,3.94,Grilled Salmon,Fish Dish
156,2024-03,2024-03-23,2024-03-23 10:43:59.559,card,40.61,2.85,Grilled Steak,Meat Dish
157,2024-03,2024-03-23,2024-03-23 10:45:07.157,card,34.88,4.91,Roast Chicken,Meat Dish
158,2024-03,2024-03-23,2024-03-23 13:10:07.661,card,39.53,4.91,Pork Chops,Meat Dish
159,2024-03,2024-03-23,2024-03-23 13:11:12.230,card,38.8,6.68,Quinoa Salad,Vegetarian Dish
160,2024-03,2024-03-23,2024-03-23 14:44:41.276,card,34.36,5.01,Roast Chicken,Meat Dish
161,2024-03,2024-03-23,2024-03-23 15:47:19.062,card,42.13,4.44,Grilled Steak,Meat Dish
162,2024-03,2024-03-23,2024-03-23 15:49:33.813,card,34.71,0.65,Roast Chicken,Meat Dish
163,2024-03,2024-03-23,2024-03-23 16:00:58.386,card,29.06,3.18,Beef Stir-Fry,Meat Dish
164,2024-03,2024-03-24,2024-03-24 10:03:56.005,cash,40.27,1.38,Grilled Steak,Meat Dish
165,2024-03,2024-03-24,2024-03-24 18:45:08.397,card,40.2,5.76,Grilled Steak,Meat Dish
166,2024-03,2024-03-25,2024-03-25 10:31:47.250,card,39.62,2.66,Grilled Steak,Meat Dish
167,2024-03,2024-03-25,2024-03-25 11:16:25.671,cash,37.05,4.78,Roast Chicken,Meat Dish
168,2024-03,2024-03-25,2024-03-25 14:27:09.163,card,39.78,4.38,Grilled Steak,Meat Dish
169,2024-03,2024-03-25,2024-03-25 14:29:25.343,card,39.22,3.46,Grilled Steak,Meat Dish
170,2024-03,2024-03-25,2024-03-25 18:37:30.650,card,34.37,2.34,Roast Chicken,Meat Dish
171,2024-03,2024-03-25,2024-03-25 19:34:24.542,card,38.81,0.95,Pork Chops,Meat Dish
172,2024-03,2024-03-26,2024-03-26 10:35:49.679,card,39.91,4.17,Quinoa Salad,Vegetarian Dish
173,2024-03,2024-03-26,2024-03-26 10:36:36.151,card,40.61,1.4,Grilled Steak,Meat Dish
174,2024-03,2024-03-26,2024-03-26 10:42:30.170,card,42.31,1.19,Grilled Steak,Meat Dish
175,2024-03,2024-03-26,2024-03-26 11:11:47.335,card,29.19,0.22,Beef Stir-Fry,Meat Dish
176,2024-03,2024-03-26,2024-03-26 13:35:52.773,card,29.35,7.12,Grilled Salmon,Fish Dish
177,2024-03,2024-03-26,2024-03-26 13:36:49.644,card,30.34,3.37,Beef Stir-Fry,Meat Dish
178,2024-03,2024-03-26,2024-03-26 13:37:59.723,card,29.75,2.76,Beef Stir-Fry,Meat Dish
179,2024-03,2024-03-26,2024-03-26 13:57:53.677,card,32.45,3.1,Grilled Salmon,Fish Dish
180,2024-03,2024-03-26,2024-03-26 15:48:02.270,card,38.91,5.49,Grilled Steak,Meat Dish
181,2024-03,2024-03-26,2024-03-26 18:33:38.568,card,38.82,4.04,Grilled Steak,Meat Dish
182,2024-03,2024-03-26,2024-03-26 18:34:54.648,card,39.31,3.19,Vegetable Lasagna,Vegetarian Dish
183,2024-03,2024-03-27,2024-03-27 11:04:51.174,card,31.8,3.86,Beef Stir-Fry,Meat Dish
184,2024-03,2024-03-27,2024-03-27 11:05:58.236,card,34.87,3.88,Roast Chicken,Meat Dish
185,2024-03,2024-03-27,2024-03-27 12:57:00.462,card,34.39,3.64,Roast Chicken,Meat Dish
186,2024-03,2024-03-27,2024-03-27 13:35:20.039,card,39.16,4.15,Vegetable Lasagna,Vegetarian Dish
187,2024-03,2024-03-27,2024-03-27 14:22:31.662,card,40.21,4.77,Pork Chops,Meat Dish
188,2024-03,2024-03-27,2024-03-27 14:23:35.380,card,29.14,1.74,Grilled Salmon,Fish Dish
189,2024-03,2024-03-27,2024-03-27 18:30:11.833,card,30.35,0.6,Beef Stir-Fry,Meat Dish
190,2024-03,2024-03-27,2024-03-27 19:31:12.442,cash,40.75,5.23,Grilled Steak,Meat Dish
191,2024-03,2024-03-28,2024-03-28 14:24:47.092,card,30.92,3.7,Beef Stir-Fry,Meat Dish
192,2024-03,2024-03-28,2024-03-28 17:24:46.244,card,29.73,0.68,Beef Stir-Fry,Meat Dish
193,2024-03,2024-03-28,2024-03-28 17:27:05.304,card,30.85,3.38,Grilled Salmon,Fish Dish
194,2024-03,2024-03-28,2024-03-28 17:32:44.652,card,40.08,3.11,Grilled Steak,Meat Dish
195,2024-03,2024-03-29,2024-03-29 10:56:19.495,card,40.0,2.14,Grilled Steak,Meat Dish
196,2024-03,2024-03-29,2024-03-29 12:34:17.383,card,39.18,4.14,Pork Chops,Meat Dish
197,2024-03,2024-03-29,2024-03-29 12:41:32.125,card,40.69,8.59,Pork Chops,Meat Dish
198,2024-03,2024-03-29,2024-03-29 13:22:44.618,cash,40.64,7.43,Pork Chops,Meat Dish
199,2024-03,2024-03-30,2024-03-30 11:59:19.854,card,40.38,4.82,Grilled Steak,Meat Dish
200,2024-03,2024-03-30,2024-03-30 13:49:25.815,cash,40.35,1.19,Pork Chops,Meat Dish
201,2024-03,2024-03-30,2024-03-30 16:12:31.786,card,38.8,6.41,Grilled Steak,Meat Dish
202,2024-03,2024-03-30,2024-03-30 16:36:40.513,card,39.52,2.38,Grilled Steak,Meat Dish
203,2024-03,2024-03-30,2024-03-30 16:37:57.553,card,34.39,1.85,Roast Chicken,Meat Dish
204,2024-03,2024-03-31,2024-03-31 10:40:04.523,card,39.33,4.54,Pork Chops,Meat Dish
205,2024-03,2024-03-31,2024-03-31 19:36:45.000,cash,30.13,0.33,Grilled Salmon,Fish Dish
206,2024-04,2024-04-01,2024-04-01 10:28:47.601,card,29.93,4.52,Grilled Salmon,Fish Dish
207,2024-04,2024-04-01,2024-04-01 10:29:42.318,card,37.23,2.81,Roast Chicken,Meat Dish
208,2024-04,2024-04-01,2024-04-01 10:30:43.735,card,34.7,2.92,Roast Chicken,Meat Dish
209,2024-04,2024-04-01,2024-04-01 11:15:43.836,card,34.14,3.9,Roast Chicken,Meat Dish
210,2024-04,2024-04-01,2024-04-01 17:01:42.924,cash,40.55,5.77,Pork Chops,Meat Dish
211,2024-04,2024-04-01,2024-04-01 18:18:42.372,card,35.62,2.73,Roast Chicken,Meat Dish
212,2024-04,2024-04-01,2024-04-01 18:45:27.436,card,40.51,5.12,Vegetable Lasagna,Vegetarian Dish
213,2024-04,2024-04-02,2024-04-02 10:01:14.022,card,41.07,4.58,Grilled Steak,Meat Dish
214,2024-04,2024-04-02,2024-04-02 16:18:34.169,card,30.08,2.39,Grilled Salmon,Fish Dish
215,2024-04,2024-04-02,2024-04-02 16:19:28.460,card,30.19,3.25,Beef Stir-Fry,Meat Dish
216,2024-04,2024-04-02,2024-04-02 19:59:31.942,cash,43.18,3.03,Pork Chops,Meat Dish
217,2024-04,2024-04-03,2024-04-03 10:19:13.644,card,30.81,2.23,Beef Stir-Fry,Meat Dish
218,2024-04,2024-04-03,2024-04-03 10:20:07.655,card,31.28,2.16,Grilled Salmon,Fish Dish
219,2024-04,2024-04-03,2024-04-03 13:12:05.367,card,39.43,3.31,Pork Chops,Meat Dish
220,2024-04,2024-04-03,2024-04-03 15:36:11.735,cash,30.16,1.85,Beef Stir-Fry,Meat Dish
221,2024-04,2024-04-04,2024-04-04 10:44:55.988,card,39.84,4.87,Grilled Steak,Meat Dish
222,2024-04,2024-04-04,2024-04-04 11:26:38.085,card,38.96,4.01,Grilled Steak,Meat Dish
223,2024-04,2024-04-04,2024-04-04 11:27:48.411,card,40.53,5.63,Pork Chops,Meat Dish
224,2024-04,2024-04-04,2024-04-04 12:23:02.216,card,30.21,3.41,Beef Stir-Fry,Meat Dish
225,2024-04,2024-04-04,2024-04-04 19:42:07.740,cash,40.92,0.77,Grilled Steak,Meat Dish
226,2024-04,2024-04-05,2024-04-05 10:40:42.728,card,30.92,4.15,Grilled Salmon,Fish Dish
227,2024-04,2024-04-05,2024-04-05 10:42:06.204,card,29.72,5.88,Grilled Salmon,Fish Dish
228,2024-04,2024-04-05,2024-04-05 11:06:14.643,card,29.67,1.96,Beef Stir-Fry,Meat Dish
229,2024-04,2024-04-05,2024-04-05 12:14:27.975,card,34.23,7.25,Roast Chicken,Meat Dish
230,2024-04,2024-04-05,2024-04-05 14:23:40.387,card,39.01,5.17,Grilled Steak,Meat Dish
231,2024-04,2024-04-05,2024-04-05 14:24:50.417,card,31.16,3.54,Beef Stir-Fry,Meat Dish
232,2024-04,2024-04-05,2024-04-05 15:30:50.383,cash,40.41,2.47,Grilled Steak,Meat Dish
233,2024-04,2024-04-05,2024-04-05 15:54:15.768,cash,40.78,4.78,Pork Chops,Meat Dish
234,2024-04,2024-04-05,2024-04-05 15:55:30.947,cash,31.42,4.52,Grilled Salmon,Fish Dish
235,2024-04,2024-04-05,2024-04-05 16:17:43.975,cash,42.82,5.96,Quinoa Salad,Vegetarian Dish
236,2024-04,2024-04-05,2024-04-05 16:18:23.558,card,25.37,2.79,Tuna Steak,Fish Dish
237,2024-04,2024-04-06,2024-04-06 12:32:31.398,card,35.44,4.76,Roast Chicken,Meat Dish
238,2024-04,2024-04-06,2024-04-06 14:13:18.733,card,39.67,3.63,Pork Chops,Meat Dish
239,2024-04,2024-04-06,2024-04-06 14:14:27.029,card,29.63,6.28,Grilled Salmon,Fish Dish
240,2024-04,2024-04-06,2024-04-06 14:49:50.183,card,40.76,4.42,Grilled Steak,Meat Dish
241,2024-04,2024-04-07,2024-04-07 10:12:53.204,card,40.59,3.48,Grilled Steak,Meat Dish
242,2024-04,2024-04-07,2024-04-07 12:44:31.936,card,41.13,4.91,Pork Chops,Meat Dish
243,2024-04,2024-04-07,2024-04-07 12:46:05.118,card,39.84,5.04,Pork Chops,Meat Dish
244,2024-04,2024-04-07,2024-04-07 14:16:24.949,card,30.01,4.37,Beef Stir-Fry,Meat Dish
245,2024-04,2024-04-07,2024-04-07 14:17:30.628,card,24.75,2.4,Tuna Steak,Fish Dish
246,2024-04,2024-04-07,2024-04-07 18:01:16.608,card,38.88,0.92,Vegetable Lasagna,Vegetarian Dish
247,2024-04,2024-04-07,2024-04-07 18:02:03.878,card,35.52,4.57,Roast Chicken,Meat Dish
248,2024-04,2024-04-08,2024-04-08 10:58:21.106,card,34.28,4.1,Roast Chicken,Meat Dish
249,2024-04,2024-04-08,2024-04-08 10:59:27.558,card,40.13,4.85,Pork Chops,Meat Dish
250,2024-04,2024-04-08,2024-04-08 11:01:20.464,card,31.52,2.99,Grilled Salmon,Fish Dish
251,2024-04,2024-04-08,2024-04-08 11:04:47.030,card,40.0,3.59,Pork Chops,Meat Dish
